id	sentence	syllables
1197848549310058496	Hello, here we go!	5
1197728882234925057	Thank you and , GREAT JOB!	5
1197705138275856384	"SCHIFFS ""FACT"" WITNESSES!"	5
1197503790729121794	lies are growing by the day.	7
1197499643086753793	President before.	5
1197493067571486720	FAKE & CORRUPT NEWS!	5
1197227388683206656	TELL PRESIDENT ZELENSKY	7
1197227388683206656	TO DO THE RIGHT THING!	5
1197227384878927873	He was not in a good mood.	7
1197227384878927873	He (the President) just said,...	7
1197131856963129344	Nothing Democrats.	5
1197131856963129344	It will never work.	5
1197129443187318786	The three year Hoax continues!	7
1197014949341646848	Thank you Tennessee!	5
1196791181163847682	NASDAQ UP % THIS YEAR ALONE!	7
1196632739266596865	Too strong a Dollar	5
1196540711086243841	#MAGA #KAG	7
1196532586853650434	#MAGA #KAG	7
1196105359355711488	A BIG difference!	5
1196097712925691906	Japan deal DONE.	5
1196061212833923072	Bergdahl or Chelsea Manning!	7
1195931893998456832	Everything very good (great!).	7
1195931893998456832	Will complete next year.	5
1195844715238830082	Lower taxes and much more!	7
1195773067261292547	Lisa Booth Thank you Lisa!	7
1195727871765073921	Dismissing people like Kent..	7
1195531896433848320	#NewHoaxSameSwamp	5
1195495876631957504	#MAGA #KAG	7
1195379578358960128	Stock Market up big.	5
1195379578358960128	New and Historic Record.	7
1195003306558607360	Wheres the Fake Whistleblower?	7
1195000499080175623	.@DanHenninger	5
1195000499080175623	Nancy Pelosi had it	7
1195000499080175623	Make it a voting issue.	7
1194605354484715520	You have these people taking...	7
1194588645673619457	They have leaked out everything.	7
1194458299720175616	It is another Witch Hunt.	7
1194458301033074688	They never saw this coming.	7
1194428178514743301	Just read the transcript.	5
1194279077546483714	Nothing Democrats!	5
1194216506403545088	Economy is BOOMING.	7
1194056520427810816	This isnt about Impeachment.	7
1194037811932016640	Why should we listen to them?	7
1194037811932016640	Why should we want to?	5
1193897574899634176	Jamie Dimon on	5
1193615188311912449	NOTHING WAS DONE WRONG!	5
1193320428883845121	A terrible lie.	5
1193320428883845121	How can she do such a thing?	7
1193249691741216768	#MAGA #KAG	7
1193239922926178304	, be part of the list!	5
1193224005827940352	PRESIDENTIAL HARASSMENT!	7
1193200357243080704	But the Witch Hunt continues.	7
1193132809986203649	Vince, this will be great!	5
1192467617140924417	Stock Market up big today.	7
1192418595323682817	Just read the Transcript.	5
1192333300683198464	Just returned to the	5
1192284746815922176	LOUISIANA!	5
1192071660494565377	Spend your money well!	5
1191942342879666178	Check out the numbers.	5
1191937709364928513	(Fake News will blame Trump!).	5
1191791823645229056	Thank you so much CLUB .	5
1191762155022012416	A very good start!	5
1191698487697649670	He will never let you down!	7
1191689078393262080	The cant get anything done!	7
1191687950360358913	VOTE REPUBLICAN TODAY!	7
1191350738536083459	Stock Market hits RECORD HIGH.	7
1191350738536083459	Spend your money well!	5
1191342959695933441	There is no Whistleblower.	7
1191208147173679104	Cant we read English?	5
1191208147173679104	So plain and simple!	5
1191087187443490818	VOTE REPUBLICAN	5
1191032782274748416	The Angry Majority!	7
1190734818595758085	Where is the Whistleblower?	7
1190375831840985091	Great leaders would work....	5
1190373504442654730	Great leaders would work....	5
1190269494788263936	Stock Market up BIG!	5
1190269332623970304	LOUISIANA!	5
1190266170064166913	Big Rally for Eddie R.	7
1190266170064166913	Early voting starts!	5
1190261874371244032	ISIS has a new leader.	7
1190247105841057805	It just wont happen!	5
1190244509277458433	Thats whats going on.	5
1190240720633905152	A Witch Hunt like no other!	7
1190079192358105088	I hated having to make....	7
1189766430826344449	Game was amazing!	5
1189762942004289536	Thank you Daily Wire.	5
1189592785311223815	We are fixing this problem!	7
1189555451274379265	Congress needs to do its work.	7
1189198697059553285	The Fed doesnt have a clue!	7
1189183301233233920	Economy Rocks!	5
1189167309455331328	Cant be possible!	5
1189146892292313088	A great book by a great guy.	7
1189028602052042752	Schiff should be Impeached, and worse!	7
1189026689860489216	Where is the Whistleblower?	7
1188862744067481603	An AMAZING CHAMPION.	7
1188862744067481603	Great going Tiger!	5
1188813055108374533	Our Country is doing great.	7
1188400389697212416	#HappyDiwali	7
1188187870877618176	LOUISIANA!	5
1188103311653769216	Witch Hunt continues!	5
1188048258255540224	This is a disgrace!	5
1187936868299608065	#TakeBackDay	5
1187708411309375488	All others way down.	5
1187708412685107200	That was years ago.	5
1187547459700121600	who was so inaccurate?	7
1187222295556874241	were building on the Border)	7
1187116372997922821	#SHALEINSIGHT	5
1187114497384898560	#SHALEINSIGHT	5
1187081515051601920	Nothing Democrats.	5
1187080935373713408	, Im sure they would like to try.	7
1186985455058898945	Safe Zone created!	5
1186982949180317697	Turning Point USA	5
1186968579125792768	Where is the Whistleblower?	7
1186959459878350848	Nothing Dems are terrible!	7
1186607396090724353	Thats squarely in his corner.	7
1186270381491081218	Well find someplace else!	5
1186114296524267520	Thank you John, so nice!	5
1186035685163257857	Why didnt the IG see this?	7
1186016354572353536	I did something, missiles.	7
1185934502906007552	Ending endless wars!	5
1185747939257397248	I like all people!).	5
1185738277376184320	We are doing GREAT!	5
1185726931611852802	its own to unit building.	7
1185637489471565824	It is ONLY about this!	7
1185610478325784577	.@RepMcClintock	5
1185610478325784577	Great interview on	5
1185586107653804033	Thank you very much.	5
1185574689156059141	USMCA anyone?	5
1185534210196627456	#StopTheCoup	5
1185389914470473729	That was Obama.	5
1185379196203421696	Pelosi and Impeachment	7
1185374394350215169	Corrupt Adam Schiff	5
1185367080780156930	some really good!	5
1185220552254017537	DEFEAT TERRORISM!	5
1184973040150614016	See you soon Dallas, Texas!	7
1184895160871571456	Millions of lives will be saved.	7
1184895160871571456	Congratulations to ALL!	7
1184884179751731200	Millions of lives will be saved!	7
1184848482844250113	As the Witch Hunt continues!	7
1184799768964456448	This is the real story.	7
1184631273454817280	THANK YOU you Dallas, Texas.	7
1184620202480193537	It was very sad to watch.	7
1184576819309228034	THANK YOU, WORKING HARD!	5
1184307214623875072	A great group of Champions!	7
1184196970212139010	Congratulations !	5
1183900672892309505	A real disgrace.	5
1183833640507269120	Regarding Turkey	5
1183818841941565441	This was announced on Friday.	7
1183796209942695938	America First!	5
1183702528787189767	Let the USA pay, they said...	7
1183702529403695104	Never ending wars will end!	7
1183697555907104768	Thank you Harry, I agree!	7
1183693718500659200	Did Schiff tell him to do that?	7
1183693719914106880	A total Impeachment Scam!	7
1183524771734183936	They should do it now.	5
1183520040647380993	.@marklevinshow	5
1183506864170029056	I never said this.	5
1183499482069159941	THEY HAVE ALREADY STARTED!	7
1183499482790612993	They will remain at %.	5
1183219098911682561	Thank you Louisiana!	7
1183124325999796225	That is the real story!	7
1182865849851338753	LOUISIANA	5
1182859837316583424	Impeach Schiff for FRAUD!	5
1182859828386885633	Dont want him at the White House!	7
1182807013719531522	See everyone soon!	5
1182709748619198464	We love you , THANK YOU!	5
1182684215189614592	Really good news!	5
1182681755679121408	The Do Nothing Democrats.	7
1182681234880847872	Do you believe this?	5
1182446696598511617	This article is FAKE NEWS!	7
1182446290724163584	This article is FAKE NEWS!	7
1182387197066039298	We did our job perfectly!	7
1182286411501838337	Talking to both sides.	5
1182281836363485185	Court Justice &amp	5
1182147895371472896	They are the worst of the worst!	7
1182112396837625857	A different take!	5
1182107033874714624	John Kiriakou	5
1181995834369544198	Sleepy Joe Biden!	5
1181940389990805504	He signed it anyway!	7
1181913136074502144	This is a very big Lie.	7
1181890675375259653	He should be Impeached for Fraud!	7
1181889601914454016	This is no Whistleblower.....	7
1181761045486080002	Washington Examiner,	7
1181754987141124098	Bret Baier and Jake Gibson	7
1181644113092980737	The U.S. Border is SECURE!	7
1181622998228508672	Big crowd expected.	5
1181577775246905344	See you Thursday Night!	5
1181576256904744964	Want to bring some home.	5
1181542327711600642	, ticket requests already.	7
1181542327711600642	Dump Frey and Omar!	5
1181249853801877508	"""The Truth About Impeachment"""	7
1181232251390042118	THE USA IS GREAT!	5
1181207817715421184	These numbers are blockbusters.	7
1181178546150092800	But why are people surprised?	7
1180990087749935105	Gerry Baker of	5
1180987393115074560	I did NOTHING wrong!	5
1180939171755630599	Big and Bold USA!	5
1180559858699030529	#IMPEACHMITTROMNEY	7
1180521871223246848	THIS IS THE REAL STORY!	7
1180487139546546182	(I didnt give it to him).	7
1180245134363025415	LYIN SHIFTY SCHIFF!	5
1180207709985165313	WOW, this is big stuff!	5
1179938275089367040	Joe diGenova	5
1179863468582719488	Thank you , really well done!	7
1179856669901111297	This is a Democrat Scam!	7
1179847803574423552	I will be back soon!	5
1179840448225054720	ELECTION INTERFERENCE!	7
1179804457112129537	Nothing Dems dont have a chance!	7
1179710734030249984	Keep up the great work Kellie!	7
1179375408405450752	Early voting has started.	7
1179048439319072768	This should never be allowed!	7
1178984236524675072	Great job, just in time!	5
1178981327082856448	; Inauguration!	5
1178651959051669504	#FakeWhistleblower	7
1178650939374424067	PRESSURE PUT ON HIM BY ME.	7
1178650256952745984	PRESSURE PUT ON HIM BY ME.	7
1178643854737772545	Arrest for Treason?	5
1178465036811034631	We need to get good stuff done.	7
1178465036811034631	Let the people vote,....	5
1178442765736333313	Big Consequences!	5
1178283903490183168	These are TrumpedUp Charges.	7
1178076844135976966	End the Witch Hunt now!	5
1178074551541997568	He must resign from Congress!	7
1178067057591631874	Others ended in ashes!	7
1177924521291997184	PRESIDENTIAL HARASSMENT!	7
1177797447931895808	Voter I.D. is the best way.	7
1177575947358412800	He is a sick man!	5
1177574382056693760	I said, of course, NO!	5
1177560986666098690	HE WAS DESPERATE	5
